13
x px y py z pz
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.966925763344e+02
1.000000000000e-04 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.966925763344e+02
-1.000000000000e-04 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.966925763344e+02
0.000000000000e+00 1.966925760065e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.966925753509e+02
0.000000000000e+00 -1.966925760065e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.966925753509e+02
0.000000000000e+00 0.000000000000e+00 1.000000000000e-04 0.000000000000e+00 0.000000000000e+00 1.966925763344e+02
0.000000000000e+00 0.000000000000e+00 -1.000000000000e-04 0.000000000000e+00 0.000000000000e+00 1.966925763344e+02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.966925760065e-02 0.000000000000e+00 1.966925753509e+02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 -1.966925760065e-02 0.000000000000e+00 1.966925753509e+02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e-04 1.966925763344e+02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 -1.000000000000e-04 1.966925763344e+02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.968892689107e+02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.964958837580e+02
