#BLTrackFile NTuple/Z16400
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-26.3235 -16.977 16400 -0.265172 -1.44583 27.9614 213.615 -13 1 1 0 1
2.46555 24.8766 16400 0.0377672 1.82767 27.9403 213.724 -13 2 1 0 1
29.0395 8.165 16400 0.378047 0.974843 27.9805 213.509 -13 3 1 0 1
-1.04001 -1.67499 16400 0.0157654 0.0352626 28 213.401 -13 4 1 0 1
-29.4673 0.6008 16400 -0.342144 0.0355592 27.9979 213.386 -13 5 1 0 1
17.547 4.79115 16400 0.245195 0.813047 27.9871 213.482 -13 6 1 0 1
-2.63364 -22.2093 16400 -0.0201584 -1.68798 27.9491 213.677 -13 7 1 0 1
-55.6192 -34.7219 16400 -0.493222 -2.08193 27.9181 213.843 -13 8 1 0 1
-28.8439 -9.92278 16400 -0.289875 -1.16628 27.9742 213.547 -13 9 1 0 1
-4.57926 0.491018 16400 -0.0400698 -0.226747 27.9991 213.408 -13 10 1 0 1
1.77553 -0.198951 16400 0.074413 0.2483 27.9988 213.404 -13 11 1 0 1
-0.0534138 0.0844303 16400 0.00655908 -0.283765 27.9986 213.42 -13 12 1 0 1
17.8909 0.528895 16400 0.242704 0.425364 27.9957 213.443 -13 13 1 0 1
30.5115 0.13847 16400 0.413831 0.420667 27.9938 213.45 -13 14 1 0 1
22.4602 -2.33095 16400 0.333882 -0.0671424 27.9979 213.422 -13 15 1 0 1
-14.6784 0.00610875 16400 -0.158067 0.395853 27.9968 213.41 -13 16 1 0 1
-27.764 0.48873 16400 -0.313503 0.186165 27.9976 213.387 -13 17 1 0 1
-28.7861 -0.231496 16400 -0.326132 -0.441318 27.9946 213.412 -13 18 1 0 1
-17.8953 -3.45409 16400 -0.173856 -0.832824 27.9871 213.473 -13 19 1 0 1
-3.12078 -2.82981 16400 -0.0159083 -0.666598 27.9921 213.449 -13 20 1 0 1
-5.31644 0.843437 16400 -0.0157736 0.309531 27.9983 213.398 -13 21 1 0 1
-4.36233 0.00333899 16400 -0.0197077 -0.495501 27.9956 213.427 -13 22 1 0 1
6.41445 -0.525531 16400 0.108457 -0.0609624 27.9997 213.41 -13 23 1 0 1
8.37147 -0.0533793 16400 0.142239 -0.449472 27.996 213.43 -13 24 1 0 1
14.886 -1.13835 16400 0.232117 0.225019 27.9981 213.421 -13 25 1 0 1
7.97101 -0.892029 16400 0.139 0.251166 27.9985 213.417 -13 26 1 0 1
-12.5403 -0.979174 16400 -0.120075 0.151657 27.9993 213.39 -13 27 1 0 1
-14.3352 -1.09541 16400 -0.14115 0.306694 27.998 213.399 -13 28 1 0 1
18.2823 4.26975 16400 0.247056 0.814701 27.9871 213.488 -13 29 1 0 1
-16.4583 -1.10902 16400 -0.170741 0.295592 27.9979 213.399 -13 30 1 0 1
-14.4146 -0.210367 16400 -0.160244 0.0570675 27.9995 213.391 -13 31 1 0 1
19.7875 1.64513 16400 0.273203 0.724941 27.9893 213.479 -13 32 1 0 1
-9.51229 0.761316 16400 -0.0763039 -0.20912 27.9991 213.394 -13 33 1 0 1
5.16082 7.48093 16400 0.0900198 0.96247 27.9833 213.498 -13 34 1 0 1
-1.54134 0.0285715 16400 0.0226926 -0.0227494 28 213.395 -13 35 1 0 1
-21.966 3.4842 16400 -0.226742 0.793533 27.9878 213.462 -13 36 1 0 1
-53.7289 -3.93958 16400 -0.583867 -0.751914 27.9838 213.476 -13 37 1 0 1
-28.3929 -1.32611 16400 -0.329775 0.13557 27.9977 213.391 -13 38 1 0 1
-12.756 1.81373 16400 -0.128396 -0.0425307 27.9997 213.389 -13 39 1 0 1
2.29407 -0.0451829 16400 0.0531477 -0.208177 27.9992 213.411 -13 40 1 0 1
-11.93 0.456324 16400 -0.106907 0.585447 27.9937 213.434 -13 41 1 0 1
-11.5998 -28.2823 16400 -0.0854209 -2.03825 27.9256 213.827 -13 42 1 0 1
-30.3347 0.386475 16400 -0.355387 0.136279 27.9974 213.39 -13 43 1 0 1
-4.47161 -1.31641 16400 -0.0163707 0.142237 27.9996 213.397 -13 44 1 0 1
-27.8327 0.0475401 16400 -0.307382 -0.442201 27.9948 213.41 -13 45 1 0 1
7.8302 2.85767 16400 0.108852 0.616046 27.993 213.457 -13 46 1 0 1
2.02967 -0.204767 16400 0.0627262 -0.358768 27.9976 213.415 -13 47 1 0 1
-11.3448 -0.537984 16400 -0.106952 -0.105923 27.9996 213.389 -13 48 1 0 1
0.157796 -0.847759 16400 0.0326531 0.554348 27.9945 213.446 -13 49 1 0 1
-20.1123 -0.137546 16400 -0.21946 0.269811 27.9978 213.394 -13 50 1 0 1
2.47488 -2.3816 16400 0.070363 -0.651212 27.9923 213.447 -13 51 1 0 1
44.1023 -0.810593 16400 0.582695 -0.0854533 27.9938 213.442 -13 52 1 0 1
-0.814306 -0.849997 16400 0.0242254 0.1901 27.9993 213.405 -13 53 1 0 1
10.5208 0.186395 16400 0.176515 -0.0574776 27.9994 213.409 -13 54 1 0 1
21.4778 -0.505737 16400 0.316683 -0.286264 27.9967 213.429 -13 55 1 0 1
-21.3684 -1.83274 16400 -0.224675 0.125096 27.9988 213.383 -13 56 1 0 1
-6.30573 -3.71353 16400 -0.0304501 -0.816445 27.9881 213.468 -13 57 1 0 1
7.13446 -0.531005 16400 0.120637 -0.409026 27.9968 213.426 -13 58 1 0 1
