#BLTrackFile NTuple/Z540
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-17.5291 0.0786623 540 0.0404998 -0.151984 27.9996 7.03166 -13 1 1 0 1
24.6153 4.61539 540 -0.020394 0.277114 27.9986 7.03169 -13 2 1 0 1
15.2298 -4.53904 540 0.044589 0.0792958 27.9999 7.03167 -13 3 1 0 1
3.36885 1.83469 540 0.0512553 0.125282 27.9997 7.03171 -13 4 1 0 1
-0.864819 3.72662 540 -0.0817847 -0.0265044 27.9999 7.03166 -13 5 1 0 1
12.6446 -1.01929 540 -0.0185448 0.131904 27.9997 7.03166 -13 6 1 0 1
-20.3921 -3.1658 540 0.0636234 -0.14814 27.9995 7.03167 -13 7 1 0 1
-22.3308 3.3988 540 -0.00671635 -0.189148 27.9994 7.03166 -13 8 1 0 1
-16.2774 -1.50196 540 -0.0102872 -0.242028 27.999 7.0317 -13 9 1 0 1
-3.99663 2.19712 540 -0.0555956 0.0720049 27.9999 7.03171 -13 10 1 0 1
4.95401 -1.63914 540 0.0159557 0.00426539 28 7.03165 -13 11 1 0 1
-4.5939 3.40562 540 -0.0626934 0.146282 27.9995 7.03181 -13 12 1 0 1
7.19438 1.15139 540 -0.0500851 0.207486 27.9992 7.03175 -13 13 1 0 1
9.77827 -3.576 540 0.0933935 0.144298 27.9995 7.03168 -13 14 1 0 1
4.40571 -4.0786 540 0.181504 0.0857655 27.9993 7.03175 -13 15 1 0 1
5.9783 3.71168 540 -0.0613788 0.0903248 27.9998 7.03166 -13 16 1 0 1
1.58988 2.8942 540 -0.0720177 -0.0399223 27.9999 7.03167 -13 17 1 0 1
-7.0027 1.86178 540 -0.0226389 -0.0953143 27.9998 7.03165 -13 18 1 0 1
-12.5738 -2.41247 540 0.0034737 -0.203983 27.9993 7.03169 -13 19 1 0 1
-8.0205 -0.484224 540 0.0661914 -0.00925646 27.9999 7.03168 -13 20 1 0 1
