#BLTrackFile2 Z19250
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
3.78847 -9.76965 19250 0.895956 3.97961 27.7013 250.89 -13 1 1 0 1 0 0 0 0 0 0 242.519 19267.3 0.0346029 0.142901 0.989132 -18.2711 0.0687087 0 0 3.64712 
-0.725178 12.6221 19250 -0.108483 -5.13658 27.5246 251.053 -13 2 1 0 1 0 0 0 0 0 0 242.676 19279.8 -0.00162066 -0.183608 0.982998 24.1057 3.44172 0 0 3.64712 
8.25241 8.12 19250 -0.689264 -2.58536 27.8719 250.718 -13 3 1 0 1 0 0 0 0 0 0 242.353 19254.1 -0.0249068 -0.0952888 0.995138 15.1374 -3.46781 0 0 3.64712 
0.781537 0.98316 19250 0.0294805 -0.0465864 27.9999 250.513 -13 4 1 0 1 0 0 0 0 0 0 242.154 19238.3 0.00553352 0.00024817 0.999985 1.9832 0.0415661 0 0 3.64712 
-15.2643 0.264444 19250 0.445365 -0.0998712 27.9963 250.533 -13 5 1 0 1 0 0 0 0 0 0 242.174 19239.9 0.0151691 -0.00349014 0.999879 0.0959302 4.03973 0 0 3.64712 
9.22349 9.23413 19250 -0.303585 -2.09612 27.9198 250.646 -13 6 1 0 1 0 0 0 0 0 0 242.283 19248.6 -0.0109224 -0.0747504 0.997142 13.1196 -1.43483 0 0 3.64712 
0.80492 -12.796 19250 0.096687 4.71229 27.6005 250.971 -13 7 1 0 1 0 0 0 0 0 0 242.597 19273.5 0.00615819 0.170311 0.985371 -21.0446 -3.72744 0 0 3.64712 
78.9405 11.1666 19250 3.87631 5.90131 27.0952 251.484 -13 8 1 0 1 0 0 0 0 0 0 243.093 19312.9 0.140953 0.21231 0.966983 -22.7148 3.27163 0 0 3.64712 
-2.12376 -9.70935 19250 0.788629 3.10745 27.8159 250.776 -13 9 1 0 1 0 0 0 0 0 0 242.409 19258.5 0.02699 0.109436 0.993627 -15.6965 0.387485 0 0 3.64712 
-2.24837 -3.49516 19250 0.0606103 0.536439 27.9948 250.523 -13 10 1 0 1 0 0 0 0 0 0 242.164 19239.1 0.00362594 0.023438 0.999719 -3.37225 0.0960781 0 0 3.64712 
3.92835 3.73692 19250 0.0135762 -0.595247 27.9937 250.519 -13 11 1 0 1 0 0 0 0 0 0 242.16 19238.8 0.00062506 -0.0229091 0.999737 4.9412 -0.874347 0 0 3.64712 
0.338259 -4.24338 19250 0.00512113 0.68345 27.9917 250.536 -13 12 1 0 1 0 0 0 0 0 0 242.176 19240.1 0.00302931 0.0312478 0.999507 -4.09976 -0.228467 0 0 3.64712 
11.5362 5.68017 19250 -0.235539 -1.04448 27.9795 250.579 -13 13 1 0 1 0 0 0 0 0 0 242.218 19243.4 -0.00695629 -0.032557 0.999446 7.82634 -1.65995 0 0 3.64712 
16.3898 4.84231 19250 -0.500978 -1.02983 27.9766 250.615 -13 14 1 0 1 0 0 0 0 0 0 242.253 19246.2 -0.0146453 -0.0363624 0.999231 8.50964 -4.63584 0 0 3.64712 
16.0306 -0.213029 19250 -0.275239 0.215547 27.9978 250.559 -13 15 1 0 1 0 0 0 0 0 0 242.199 19241.8 -0.00392337 0.00693174 0.999968 1.55047 -4.85389 0 0 3.64712 
-7.89154 5.61237 19250 0.20196 -0.959339 27.9828 250.538 -13 16 1 0 1 0 0 0 0 0 0 242.178 19240.2 0.00780172 -0.0331348 0.99942 6.48226 2.952 0 0 3.64712 
-14.1259 2.22712 19250 0.419135 -0.463458 27.993 250.532 -13 17 1 0 1 0 0 0 0 0 0 242.172 19239.7 0.0137115 -0.017836 0.999747 2.52433 3.88685 0 0 3.64712 
