#BLTrackFile2 Z16400
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-26.3235 -16.977 16400 -0.265172 -1.44583 27.9614 213.615 -13 1 1 0 1 0 0 0 0 0 0 206.487 16404.7 -0.00691815 -0.0511113 0.998669 -18.2711 0.0687087 0 0 3.64712 
2.46555 24.8766 16400 0.0377672 1.82767 27.9403 213.724 -13 2 1 0 1 0 0 0 0 0 0 206.593 16413.1 0.00361068 0.0654108 0.997852 24.1057 3.44172 0 0 3.64712 
29.0395 8.165 16400 0.378047 0.974843 27.9805 213.509 -13 3 1 0 1 0 0 0 0 0 0 206.385 16396.5 0.0132444 0.0320104 0.9994 15.1374 -3.46781 0 0 3.64712 
-1.04001 -1.67499 16400 0.0157654 0.0352626 28 213.401 -13 4 1 0 1 0 0 0 0 0 0 206.281 16388.3 0.00504311 0.00317484 0.999982 1.9832 0.0415661 0 0 3.64712 
-29.4673 0.6008 16400 -0.342144 0.0355592 27.9979 213.386 -13 5 1 0 1 0 0 0 0 0 0 206.266 16387.1 -0.0129902 0.00135259 0.999915 0.0959302 4.03973 0 0 3.64712 
17.547 4.79115 16400 0.245195 0.813047 27.9871 213.482 -13 6 1 0 1 0 0 0 0 0 0 206.359 16394.5 0.00870333 0.0292761 0.999533 13.1196 -1.43483 0 0 3.64712 
-2.63364 -22.2093 16400 -0.0201584 -1.68798 27.9491 213.677 -13 7 1 0 1 0 0 0 0 0 0 206.547 16409.5 0.00198105 -0.0585212 0.998284 -21.0446 -3.72744 0 0 3.64712 
-55.6192 -34.7219 16400 -0.493222 -2.08193 27.9181 213.843 -13 8 1 0 1 0 0 0 0 0 0 206.708 16422.2 -0.0152432 -0.0731846 0.997202 -22.7148 3.27163 0 0 3.64712 
-28.8439 -9.92278 16400 -0.289875 -1.16628 27.9742 213.547 -13 9 1 0 1 0 0 0 0 0 0 206.422 16399.5 -0.0115941 -0.0433898 0.998991 -15.6965 0.387485 0 0 3.64712 
-4.57926 0.491018 16400 -0.0400698 -0.226747 27.9991 213.408 -13 10 1 0 1 0 0 0 0 0 0 206.288 16388.8 2.65529e-05 -0.00385077 0.999993 -3.37225 0.0960781 0 0 3.64712 
1.77553 -0.198951 16400 0.074413 0.2483 27.9988 213.404 -13 11 1 0 1 0 0 0 0 0 0 206.284 16388.5 0.0028003 0.00725362 0.99997 4.9412 -0.874347 0 0 3.64712 
-0.0534138 0.0844303 16400 0.00655908 -0.283765 27.9986 213.42 -13 12 1 0 1 0 0 0 0 0 0 206.299 16389.7 0.00308072 -0.00333465 0.99999 -4.09976 -0.228467 0 0 3.64712 
17.8909 0.528895 16400 0.242704 0.425364 27.9957 213.443 -13 13 1 0 1 0 0 0 0 0 0 206.321 16391.5 0.0101516 0.0200019 0.999748 7.82634 -1.65995 0 0 3.64712 
30.5115 0.13847 16400 0.413831 0.420667 27.9938 213.45 -13 14 1 0 1 0 0 0 0 0 0 206.328 16392 0.018068 0.0154992 0.999717 8.50964 -4.63584 0 0 3.64712 
22.4602 -2.33095 16400 0.333882 -0.0671424 27.9979 213.422 -13 15 1 0 1 0 0 0 0 0 0 206.301 16389.9 0.0178569 -0.00317543 0.999836 1.55047 -4.85389 0 0 3.64712 
-14.6784 0.00610875 16400 -0.158067 0.395853 27.9968 213.41 -13 16 1 0 1 0 0 0 0 0 0 206.289 16388.9 -0.00507339 0.0153248 0.99987 6.48226 2.952 0 0 3.64712 
