#BLTrackFile2 Z1285
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-7.94646 -7.50345 1285 0.482939 0.172284 27.9953 16.7345 -13 1 1 0 1 0.00141311 0.00133433 -0.165008 0 0 0 16.1762 1285.14 0.0187814 0.00508983 0.999811 -18.2711 0.0687087 0 0 3.64712 
8.99351 15.1292 1285 -0.695269 -0.309757 27.9897 16.7371 -13 2 1 0 1 -0.00160166 -0.00269436 -0.164887 0 0 0 16.1786 1285.34 -0.0241759 -0.0122837 0.999632 24.1057 3.44172 0 0 3.64712 
10.535 4.24257 1285 -0.41174 0.00863347 27.997 16.734 -13 3 1 0 1 -0.00187371 -0.000754564 -0.165 0 0 0 16.1756 1285.1 -0.0177697 -0.000178508 0.999842 15.1374 -3.46781 0 0 3.64712 
0.156399 5.08816 1285 -0.159484 -0.0225264 27.9995 16.733 -13 4 1 0 1 -2.78023e-05 -0.000904498 -0.165054 0 0 0 16.1747 1285.02 -0.00214277 -0.00285004 0.999994 1.9832 0.0415661 0 0 3.64712 
-2.60106 0.275234 1285 0.0700584 -0.136821 27.9996 16.7329 -13 5 1 0 1 0.000462379 -4.8927e-05 -0.165069 0 0 0 16.1746 1285.01 0.00170455 -0.00350729 0.999992 0.0959302 4.03973 0 0 3.64712 
5.84383 5.32121 1285 -0.374601 -0.095903 27.9973 16.7338 -13 6 1 0 1 -0.00103883 -0.000945927 -0.165038 0 0 0 16.1754 1285.08 -0.0137122 -0.00254442 0.999903 13.1196 -1.43483 0 0 3.64712 
-8.37563 -10.0803 1285 0.512068 0.280209 27.9939 16.7351 -13 7 1 0 1 0.00149039 0.00179372 -0.164968 0 0 0 16.1767 1285.18 0.0209388 0.00958545 0.999735 -21.0446 -3.72744 0 0 3.64712 
-12.1897 -8.39832 1285 0.638728 0.104233 27.9925 16.7357 -13 8 1 0 1 0.00216988 0.00149498 -0.164938 0 0 0 16.1773 1285.23 0.0248174 0.00319594 0.999687 -22.7148 3.27163 0 0 3.64712 
-5.84569 -10.3197 1285 0.521113 0.153491 27.9947 16.735 -13 9 1 0 1 0.00103985 0.00183571 -0.164991 0 0 0 16.1766 1285.18 0.0160978 0.00621579 0.999851 -15.6965 0.387485 0 0 3.64712 
-5.3627 0.186877 1285 0.0388233 -0.0608158 27.9999 16.7329 -13 10 1 0 1 0.000953301 -3.32202e-05 -0.165053 0 0 0 16.1745 1285.01 0.0052931 -0.000360877 0.999986 -3.37225 0.0960781 0 0 3.64712 
3.87532 0.972725 1285 -0.117087 0.0077437 27.9998 16.7328 -13 11 1 0 1 -0.000688898 -0.000172917 -0.165061 0 0 0 16.1745 1285.01 -0.00594457 9.30598e-06 0.999982 4.9412 -0.874347 0 0 3.64712 
-7.5305 1.76027 1285 -0.001618 -0.0876641 27.9999 16.733 -13 12 1 0 1 0.00133866 -0.000312915 -0.165039 0 0 0 16.1747 1285.03 0.00674201 -0.00107145 0.999977 -4.09976 -0.228467 0 0 3.64712 
-0.126169 5.46329 1285 -0.309674 -0.12463 27.998 16.7337 -13 13 1 0 1 2.24285e-05 -0.000971183 -0.165052 0 0 0 16.1753 1285.07 -0.00667939 -0.0024742 0.999975 7.82634 -1.65995 0 0 3.64712 
6.37781 4.82734 1285 -0.348403 0.0718833 27.9977 16.7337 -13 14 1 0 1 -0.00113375 -0.000858133 -0.165037 0 0 0 16.1754 1285.08 -0.0108078 0.000746352 0.999941 8.50964 -4.63584 0 0 3.64712 
5.47278 3.30689 1285 -0.195672 0.198758 27.9986 16.7335 -13 15 1 0 1 -0.00097287 -0.00058785 -0.165047 0 0 0 16.1752 1285.06 -0.00491569 0.00241607 0.999985 1.55047 -4.85389 0 0 3.64712 
0.0672521 4.70675 1285 -0.166817 -0.174733 27.999 16.7332 -13 16 1 0 1 -1.19551e-05 -0.000836698 -0.165057 0 0 0 16.1748 1285.03 -0.00512715 -0.00540898 0.999972 6.48226 2.952 0 0 3.64712 
-0.379996 0.54029 1285 0.0248427 -0.13079 27.9997 16.7328 -13 17 1 0 1 6.755e-05 -9.60448e-05 -0.165081 0 0 0 16.1745 1285.01 -0.0013226 -0.00356894 0.999993 2.52433 3.88685 0 0 3.64712 
-3.79696 -3.02243 1285 0.236631 -0.000464215 27.999 16.7331 -13 18 1 0 1 0.000674968 0.000537283 -0.165056 0 0 0 16.1748 1285.03 0.00776123 3.83516e-05 0.99997 -6.8342 2.4987 0 0 3.64712 
-3.63083 -8.83097 1285 0.406758 0.153533 27.9966 16.7342 -13 19 1 0 1 0.000645436 0.00156984 -0.165028 0 0 0 16.1759 1285.12 0.0119634 0.00603031 0.99991 -12.1188 -0.62225 0 0 3.64712 
-3.77308 -2.03155 1285 0.165625 0.128113 27.9992 16.733 -13 20 1 0 1 0.000670723 0.00036114 -0.165059 0 0 0 16.1747 1285.02 0.00897764 0.00294416 0.999955 -9.23793 -1.61599 0 0 3.64712 
3.2644 -1.03728 1285 -0.050411 -0.0389107 27.9999 16.7328 -13 21 1 0 1 -0.000580298 0.000184392 -0.165064 0 0 0 16.1745 1285 -0.00547578 0.000113257 0.999985 5.19689 0.213197 0 0 3.64712 
-3.0395 -5.18166 1285 0.216017 0.096447 27.999 16.7332 -13 22 1 0 1 0.000540318 0.000921118 -0.165049 0 0 0 16.1748 1285.03 0.00761449 0.00438612 0.999961 -7.47099 -1.56257 0 0 3.64712 
-1.96002 2.45219 1285 -0.0984286 -0.018468 27.9998 16.7329 -13 23 1 0 1 0.000348424 -0.000435914 -0.165066 0 0 0 16.1746 1285.01 0.000493166 -0.000452505 1 0.102002 -1.35509 0 0 3.64712 
-1.61518 -5.06335 1285 0.155236 0.142266 27.9992 16.733 -13 24 1 0 1 0.000287123 0.000900089 -0.165053 0 0 0 16.1747 1285.03 0.00577652 0.00584364 0.999966 -6.33421 -3.53225 0 0 3.64712 
4.0473 3.82134 1285 -0.23216 0.0429054 27.999 16.7332 -13 25 1 0 1 -0.000719469 -0.000679302 -0.165051 0 0 0 16.1749 1285.04 -0.00688122 -0.000162156 0.999976 5.37369 -2.60923 0 0 3.64712 
