#BLTrackFile2 Z10700
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
35.3413 -17.3422 10700 -0.294213 1.33408 27.9667 139.489 -13 1 1 0 1 -6.68265e-05 -4.73755e-05 6.17425e-05 0 0 0 134.835 10712.2 -0.00868608 0.0483623 0.998792 -18.2711 0.0687087 0 0 3.64712 
-2.23701 23.5592 10700 -0.0466949 -1.65792 27.9508 139.32 -13 2 1 0 1 0.000133261 -0.000209385 -1.26067e-05 0 0 0 134.671 10699.2 -0.000124968 -0.0593076 0.99824 24.1057 3.44172 0 0 3.64712 
-43.56 13.5856 10700 0.218503 -0.946192 27.9832 139.02 -13 3 1 0 1 1.50922e-05 -0.000378109 4.12095e-05 0 0 0 134.381 10676.1 0.00676853 -0.036683 0.999304 15.1374 -3.46781 0 0 3.64712 
0.488844 2.51291 10700 -0.044679 -0.068186 27.9999 139.236 -13 4 1 0 1 1.45627e-05 -0.000195126 -9.40209e-07 0 0 0 134.59 10692.7 0.00216878 -0.000530429 0.999998 1.9832 0.0415661 0 0 3.64712 
44.5986 -0.195532 10700 -0.30995 -0.0273923 27.9983 139.464 -13 5 1 0 1 -8.89138e-07 -3.86297e-06 6.10375e-07 0 0 0 134.81 10710.2 -0.0125547 -0.000898545 0.999921 0.0959302 4.03973 0 0 3.64712 
-27.4726 12.2681 10700 0.119365 -0.819722 27.9877 139.106 -13 6 1 0 1 5.07161e-05 -0.00034331 8.03892e-06 0 0 0 134.464 10682.7 0.00349102 -0.029113 0.99957 13.1196 -1.43483 0 0 3.64712 
4.56802 -21.0233 10700 -0.0848032 1.53496 27.9578 139.343 -13 7 1 0 1 -0.000108083 -0.000173985 1.77299e-05 0 0 0 134.694 10701 -0.00109902 0.056811 0.998384 -21.0446 -3.72744 0 0 3.64712 
66.6309 -17.6269 10700 -0.571115 1.7706 27.9381 139.724 -13 8 1 0 1 -6.46883e-05 6.81744e-05 7.05569e-05 0 0 0 135.062 10730.2 -0.0187777 0.0646563 0.997731 -22.7148 3.27163 0 0 3.64712 
38.7381 -16.0788 10700 -0.31456 1.131 27.9754 139.483 -13 9 1 0 1 -6.38789e-05 -3.45621e-05 5.74608e-05 0 0 0 134.829 10711.7 -0.0131599 0.0387394 0.999163 -15.6965 0.387485 0 0 3.64712 
7.28439 -4.13358 10700 -0.0793043 0.253956 27.9987 139.28 -13 10 1 0 1 -1.98662e-05 -0.000159917 5.81082e-06 0 0 0 134.632 10696.1 -0.00211216 0.0133464 0.999909 -3.37225 0.0960781 0 0 3.64712 
-6.43694 4.29291 10700 -0.0180181 -0.273282 27.9987 139.189 -13 11 1 0 1 2.42161e-05 -0.000234076 -4.1949e-06 0 0 0 134.545 10689.1 -0.00122895 -0.0113995 0.999934 4.9412 -0.874347 0 0 3.64712 
1.33453 -4.68596 10700 -0.0367476 0.309218 27.9983 139.258 -13 12 1 0 1 -2.68177e-05 -0.000190051 1.7924e-06 0 0 0 134.612 10694.4 0.000777228 0.0178869 0.99984 -4.09976 -0.228467 0 0 3.64712 
-27.7794 7.19085 10700 0.132339 -0.456558 27.996 139.103 -13 13 1 0 1 2.93935e-05 -0.000347392 4.66674e-06 0 0 0 134.462 10682.5 0.00553234 -0.0115496 0.999918 7.82634 -1.65995 0 0 3.64712 
-48.9279 7.89883 10700 0.254184 -0.458937 27.9951 138.983 -13 14 1 0 1 5.02368e-06 -0.00038625 3.13867e-05 0 0 0 134.345 10673.3 0.0116479 -0.0159859 0.999804 8.50964 -4.63584 0 0 3.64712 
-38.9607 1.67176 10700 0.183346 0.031162 27.9994 139.025 -13 15 1 0 1 2.4344e-06 -0.000378557 3.7098e-06 0 0 0 134.386 10676.5 0.0117591 0.000343007 0.999931 1.55047 -4.85389 0 0 3.64712 
21.9669 6.50633 10700 -0.174423 -0.429159 27.9962 139.352 -13 16 1 0 1 2.71891e-05 -9.67075e-05 -1.73063e-05 0 0 0 134.702 10701.6 -0.00636503 -0.0141832 0.999879 6.48226 2.952 0 0 3.64712 
41.2122 2.14878 10700 -0.294875 -0.191563 27.9978 139.442 -13 17 1 0 1 9.01594e-06 -1.81312e-05 -7.46324e-06 0 0 0 134.789 10708.5 -0.0125383 -0.00811145 0.999888 2.52433 3.88685 0 0 3.64712 
42.6864 -7.03919 10700 -0.305405 0.475154 27.9943 139.462 -13 18 1 0 1 -3.04826e-05 -1.38114e-05 2.35376e-05 0 0 0 134.808 10710.1 -0.0112319 0.0164375 0.999802 -6.8342 2.4987 0 0 3.64712 
