#BLTrackFile NTuple/Z300
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-17.8548 0.3911 300 0.0384677 0.0183364 28 3.90648 -13 1 1 0 1
24.4711 3.64638 300 0.0315545 0.0355621 28 3.90647 -13 2 1 0 1
15.1016 -4.33923 300 -5.87524e-05 -0.0712368 27.9999 3.90649 -13 3 1 0 1
2.78977 0.973008 300 0.0741976 0.0891715 27.9998 3.9065 -13 4 1 0 1
-0.37043 3.88307 300 -0.0460605 -0.015087 28 3.90648 -13 5 1 0 1
12.8362 -1.43286 300 -0.0255119 0.0086551 28 3.90647 -13 6 1 0 1
-20.7353 -3.04629 300 0.0306178 0.0498677 27.9999 3.90648 -13 7 1 0 1
-22.4362 3.74567 300 0.023313 0.0294001 28 3.90648 -13 8 1 0 1
-16.0481 -0.364821 300 -0.0322085 -0.0811118 27.9999 3.90649 -13 9 1 0 1
-3.6739 1.33709 300 -0.0296122 0.113221 27.9998 3.90651 -13 10 1 0 1
4.91604 -1.38925 300 -0.00118733 -0.044768 28 3.90648 -13 11 1 0 1
-4.30363 1.8746 300 -0.0212384 0.193297 27.9993 3.90657 -13 12 1 0 1
7.50125 -0.228099 300 -0.0308486 0.138523 27.9996 3.90652 -13 13 1 0 1
9.15004 -4.22743 300 0.06241 0.0445543 27.9999 3.90648 -13 14 1 0 1
3.0633 -4.50905 300 0.144059 0.0349342 27.9996 3.90652 -13 15 1 0 1
6.27067 3.26562 300 -0.0220897 0.0333782 28 3.90647 -13 16 1 0 1
2.05557 3.30803 300 -0.0457094 -0.0528599 27.9999 3.90648 -13 17 1 0 1
-6.8942 2.27256 300 -0.00701388 -0.0257625 28 3.90647 -13 18 1 0 1
-12.4174 -1.38661 300 -0.0265816 -0.0797938 27.9999 3.90648 -13 19 1 0 1
-8.56679 -0.843694 300 0.0628647 0.0666378 27.9999 3.90649 -13 20 1 0 1
4.53601 -0.760156 300 -0.0607329 -0.0881011 27.9998 3.9065 -13 21 1 0 1
-7.74184 -1.56283 300 -0.0242212 -0.00534143 28 3.90647 -13 22 1 0 1
0.279941 -0.164052 300 0.0161742 0.111431 27.9998 3.9065 -13 23 1 0 1
-6.52688 -3.43954 300 -0.0157087 0.00418959 28 3.90647 -13 24 1 0 1
5.95893 -2.27241 300 0.0559867 0.0357039 27.9999 3.90648 -13 25 1 0 1
5.663 -0.594238 300 0.0251054 0.0562188 27.9999 3.90648 -13 26 1 0 1
3.62012 1.29878 300 0.0374015 -0.018227 28 3.90647 -13 27 1 0 1
6.17729 1.95088 300 0.0458553 -0.019836 28 3.90648 -13 28 1 0 1
13.502 -0.752864 300 0.0115376 0.0527104 27.9999 3.90648 -13 29 1 0 1
5.87192 2.54564 300 0.0430292 -0.00501827 28 3.90648 -13 30 1 0 1
1.06115 2.80691 300 -0.0129786 0.0594203 27.9999 3.90648 -13 31 1 0 1
14.4294 -1.72842 300 0.130581 0.0305826 27.9997 3.90651 -13 32 1 0 1
-3.21367 -0.899299 300 -0.0113164 -0.0560942 27.9999 3.90648 -13 33 1 0 1
13.2889 0.79644 300 -0.0973889 -0.00387202 27.9998 3.90649 -13 34 1 0 1
0.370637 -0.837152 300 0.00165202 -0.00567453 28 3.90647 -13 35 1 0 1
11.7741 4.04605 300 0.00293435 -0.0351288 28 3.90647 -13 36 1 0 1
-11.0667 3.99302 300 -0.0479439 -0.110012 27.9997 3.9065 -13 37 1 0 1
3.1841 4.65785 300 0.060172 0.0251568 27.9999 3.90648 -13 38 1 0 1
-2.26732 0.841159 300 -0.101913 -0.0196926 27.9998 3.9065 -13 39 1 0 1
-2.56362 0.0402403 300 0.00261567 0.10481 27.9998 3.9065 -13 40 1 0 1
10.2126 2.2171 300 0.0373132 -0.0247187 28 3.90648 -13 41 1 0 1
-27.245 -3.42157 300 -0.176531 -0.0172838 27.9994 3.90655 -13 42 1 0 1
1.19848 4.6483 300 -0.0451763 0.0051137 28 3.90647 -13 43 1 0 1
4.09785 0.338155 300 0.0562121 0.00601581 27.9999 3.90648 -13 44 1 0 1
-7.03224 1.33547 300 -0.0134621 -0.0685035 27.9999 3.90648 -13 45 1 0 1
8.34233 2.25227 300 -0.126587 0.145241 27.9993 3.90656 -13 46 1 0 1
-4.62935 -1.93325 300 0.0228804 0.0180706 28 3.90647 -13 47 1 0 1
-0.415359 0.584338 300 0.0480968 -0.00626161 28 3.90648 -13 48 1 0 1
11.4107 1.85899 300 0.101475 0.0722051 27.9997 3.90651 -13 49 1 0 1
4.1811 2.91443 300 -0.0180676 -0.0164608 28 3.90647 -13 50 1 0 1
-8.43781 -3.43194 300 0.0499877 -0.0268111 27.9999 3.90648 -13 51 1 0 1
1.59787 -8.48517 300 0.0439508 0.0146636 28 3.90647 -13 52 1 0 1
4.28268 0.565924 300 0.0180429 0.0442069 28 3.90648 -13 53 1 0 1
-0.0374691 -2.48369 300 -0.00883964 0.0244521 28 3.90647 -13 54 1 0 1
-2.67706 -5.17218 300 0.0259659 0.0150299 28 3.90647 -13 55 1 0 1
4.15445 1.76569 300 0.10758 -0.0686771 27.9997 3.90651 -13 56 1 0 1
-11.3892 -3.53826 300 0.0173803 -0.0943708 27.9998 3.90649 -13 57 1 0 1
-5.31246 -2.22882 300 0.0184609 0.0546782 27.9999 3.90648 -13 58 1 0 1
0.730316 -2.51682 300 -0.0762901 -0.0232107 27.9999 3.90649 -13 59 1 0 1
-4.92238 2.16988 300 0.0617041 0.0918709 27.9998 3.9065 -13 60 1 0 1
-0.464586 3.79501 300 0.0156908 -0.048651 28 3.90648 -13 61 1 0 1
17.5038 6.37996 300 -0.107971 0.0833642 27.9997 3.90651 -13 62 1 0 1
-2.07818 -2.01438 300 -0.0854405 0.117699 27.9996 3.90652 -13 63 1 0 1
-3.44708 2.03288 300 -0.110762 0.0864133 27.9996 3.90652 -13 64 1 0 1
6.18105 2.77508 300 -0.0958911 0.0640869 27.9998 3.9065 -13 65 1 0 1
-12.3065 0.845377 300 0.0337203 0.0159921 28 3.90647 -13 66 1 0 1
-2.01641 -6.7477 300 0.0690669 -0.0729401 27.9998 3.90649 -13 67 1 0 1
4.37129 -2.36128 300 0.00222848 0.0703153 27.9999 3.90648 -13 68 1 0 1
3.38546 4.24766 300 0.0062451 -0.00299044 28 3.90647 -13 69 1 0 1
-5.29141 5.04042 300 -0.00213305 -0.0180721 28 3.90647 -13 70 1 0 1
8.80173 -0.195943 300 0.039964 -0.100533 27.9998 3.9065 -13 71 1 0 1
-1.48105 -1.8363 300 -0.11549 0.00907731 27.9998 3.9065 -13 72 1 0 1
8.57348 -1.9642 300 0.0778403 0.00320661 27.9999 3.90648 -13 73 1 0 1
4.64439 -4.17526 300 -0.0896198 0.0131699 27.9999 3.90649 -13 74 1 0 1
1.40938 -0.686091 300 -0.0181831 0.0215037 28 3.90647 -13 75 1 0 1
-1.5638 -0.877615 300 -9.99871e-05 -0.0772751 27.9999 3.90648 -13 76 1 0 1
14.0341 -0.0891851 300 0.0362464 -0.00650537 28 3.90647 -13 77 1 0 1
-7.3349 -3.93951 300 0.0572402 -0.0385545 27.9999 3.90648 -13 78 1 0 1
-7.92398 -2.49506 300 0.054314 -0.00589047 27.9999 3.90648 -13 79 1 0 1
11.7133 3.95626 300 0.0339154 -0.0365855 28 3.90648 -13 80 1 0 1
11.204 3.92746 300 0.0679553 0.0223926 27.9999 3.90648 -13 81 1 0 1
0.186267 1.19466 300 -0.00839119 -0.0117798 28 3.90647 -13 82 1 0 1
0.744862 -3.17984 300 -0.0233555 0.121931 27.9997 3.90651 -13 83 1 0 1
