#BLTrackFile2 Z540
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-17.5291 0.0786623 540 0.0404998 -0.151984 27.9996 7.03166 -13 1 1 0 1 -0.00572315 2.56829e-05 -0.0728541 0 0 0 6.79704 540.001 0.000161914 -0.00680779 0.999977 -18.2711 0.0687087 0 0 3.64712 
24.6153 4.61539 540 -0.020394 0.277114 27.9986 7.03169 -13 2 1 0 1 0.0080459 0.00150861 -0.0725241 0 0 0 6.79706 540.003 -0.00194943 0.00938404 0.999954 24.1057 3.44172 0 0 3.64712 
15.2298 -4.53904 540 0.044589 0.0792958 27.9999 7.03167 -13 3 1 0 1 0.00497188 -0.0014818 -0.0729034 0 0 0 6.79705 540.002 0.00151043 0.00590676 0.999981 15.1374 -3.46781 0 0 3.64712 
3.36885 1.83469 540 0.0512553 0.125282 27.9997 7.03171 -13 4 1 0 1 0.00109897 0.000598504 -0.0731418 0 0 0 6.79709 540.005 -0.000609865 0.00119109 0.999999 1.9832 0.0415661 0 0 3.64712 
-0.864819 3.72662 540 -0.0817847 -0.0265044 27.9999 7.03166 -13 5 1 0 1 -0.000282117 0.00121568 -0.0731419 0 0 0 6.79704 540.001 -0.00145641 -0.000307326 0.999999 0.0959302 4.03973 0 0 3.64712 
12.6446 -1.01929 540 -0.0185448 0.131904 27.9997 7.03166 -13 6 1 0 1 0.00412661 -0.000332648 -0.0729998 0 0 0 6.79704 540.001 0.000284121 0.00492345 0.999988 13.1196 -1.43483 0 0 3.64712 
-20.3921 -3.1658 540 0.0636234 -0.14814 27.9995 7.03167 -13 7 1 0 1 -0.00665987 -0.00103392 -0.0727476 0 0 0 6.79705 540.002 0.00147976 -0.00786175 0.999968 -21.0446 -3.72744 0 0 3.64712 
-22.3308 3.3988 540 -0.00671635 -0.189148 27.9994 7.03166 -13 8 1 0 1 -0.00729603 0.00111047 -0.0726487 0 0 0 6.79704 540.001 -0.00105925 -0.0086543 0.999962 -22.7148 3.27163 0 0 3.64712 
-16.2774 -1.50196 540 -0.0102872 -0.242028 27.999 7.0317 -13 9 1 0 1 -0.00531405 -0.000490341 -0.0728897 0 0 0 6.79708 540.004 0.000616275 -0.00622575 0.99998 -15.6965 0.387485 0 0 3.64712 
-3.99663 2.19712 540 -0.0555956 0.0720049 27.9999 7.03171 -13 10 1 0 1 -0.00130376 0.000716735 -0.0731346 0 0 0 6.79708 540.005 -0.000658458 -0.00151131 0.999999 -3.37225 0.0960781 0 0 3.64712 
4.95401 -1.63914 540 0.0159557 0.00426539 28 7.03165 -13 11 1 0 1 0.00161608 -0.000534713 -0.0731281 0 0 0 6.79703 540.001 0.000524761 0.00192523 0.999998 4.9412 -0.874347 0 0 3.64712 
-4.5939 3.40562 540 -0.0626934 0.146282 27.9995 7.03181 -13 12 1 0 1 -0.0014986 0.00111097 -0.0731231 0 0 0 6.79718 540.013 -0.00100867 -0.00175638 0.999998 -4.09976 -0.228467 0 0 3.64712 
7.19438 1.15139 540 -0.0500851 0.207486 27.9992 7.03175 -13 13 1 0 1 0.00234692 0.000375602 -0.0731075 0 0 0 6.79712 540.008 -0.000325215 0.00282416 0.999996 7.82634 -1.65995 0 0 3.64712 
9.77827 -3.576 540 0.0933935 0.144298 27.9995 7.03168 -13 14 1 0 1 0.00319008 -0.00116664 -0.0730681 0 0 0 6.79706 540.003 0.0013567 0.00372798 0.999992 8.50964 -4.63584 0 0 3.64712 
4.40571 -4.0786 540 0.181504 0.0857655 27.9993 7.03175 -13 15 1 0 1 0.00143721 -0.0013305 -0.0731203 0 0 0 6.79713 540.008 0.00159664 0.00154541 0.999998 1.55047 -4.85389 0 0 3.64712 
5.9783 3.71168 540 -0.0613788 0.0903248 27.9998 7.03166 -13 16 1 0 1 0.00195022 0.00121081 -0.07311 0 0 0 6.79704 540.001 -0.00144586 0.0023074 0.999996 6.48226 2.952 0 0 3.64712 
1.58988 2.8942 540 -0.0720177 -0.0399223 27.9999 7.03167 -13 17 1 0 1 0.000518645 0.000944133 -0.0731471 0 0 0 6.79705 540.002 -0.0012099 0.000643881 0.999999 2.52433 3.88685 0 0 3.64712 
-7.0027 1.86178 540 -0.0226389 -0.0953143 27.9998 7.03165 -13 18 1 0 1 -0.00228439 0.000607343 -0.0731079 0 0 0 6.79703 540.001 -0.000689226 -0.00271455 0.999996 -6.8342 2.4987 0 0 3.64712 
-12.5738 -2.41247 540 0.0034737 -0.203983 27.9993 7.03169 -13 19 1 0 1 -0.00410356 -0.00078733 -0.0729962 0 0 0 6.79707 540.004 0.000936179 -0.0048004 0.999988 -12.1188 -0.62225 0 0 3.64712 
-8.0205 -0.484224 540 0.0661914 -0.00925646 27.9999 7.03168 -13 20 1 0 1 -0.00261641 -0.000157962 -0.0731 0 0 0 6.79706 540.003 0.000360412 -0.00317175 0.999995 -9.23793 -1.61599 0 0 3.64712 
4.06094 -1.41058 540 -0.0435953 -0.0506257 27.9999 7.03169 -13 21 1 0 1 0.00132474 -0.000460153 -0.0731372 0 0 0 6.79707 540.004 0.000379119 0.00165545 0.999999 5.19689 0.213197 0 0 3.64712 
-7.89986 -1.82433 540 -0.00434783 -0.0837458 27.9999 7.03165 -13 22 1 0 1 -0.00257706 -0.000595124 -0.0730993 0 0 0 6.79703 540 0.00076874 -0.00300057 0.999995 -7.47099 -1.56257 0 0 3.64712 
0.387629 0.802972 540 0.00301251 0.115741 27.9998 7.0317 -13 23 1 0 1 0.000126451 0.000261942 -0.0731711 0 0 0 6.79708 540.004 -0.000158993 0.000131657 1 0.102002 -1.35509 0 0 3.64712 
-6.56513 -3.58257 540 0.0207223 -0.0603323 27.9999 7.03165 -13 24 1 0 1 -0.00214165 -0.00116869 -0.0731056 0 0 0 6.79703 540 0.00144911 -0.00247935 0.999996 -6.33421 -3.53225 0 0 3.64712 
6.48435 -1.78638 540 0.0704833 0.102405 27.9997 7.03167 -13 25 1 0 1 0.0021153 -0.000582746 -0.0731131 0 0 0 6.79705 540.002 0.000683777 0.0024475 0.999997 5.37369 -2.60923 0 0 3.64712 
5.87236 0.0485722 540 0.0207611 0.115069 27.9998 7.03167 -13 26 1 0 1 0.00191566 1.5845e-05 -0.0731216 0 0 0 6.79705 540.002 5.89207e-06 0.00223851 0.999997 5.39547 -1.15456 0 0 3.64712 
3.90848 1.25138 540 0.0250876 0.0216842 28 7.03165 -13 27 1 0 1 0.00127501 0.000408219 -0.0731391 0 0 0 6.79703 540.001 -0.000541041 0.00144415 0.999999 3.2111 1.52208 0 0 3.64712 
6.5191 1.961 540 0.02608 0.0459845 28 7.03166 -13 28 1 0 1 0.00212663 0.000639709 -0.0731123 0 0 0 6.79704 540.001 -0.000840867 0.00243376 0.999997 5.67314 2.21026 0 0 3.64712 
13.5951 0.0669986 540 0.00557583 0.186725 27.9994 7.03167 -13 29 1 0 1 0.00443727 2.18675e-05 -0.0729724 0 0 0 6.79705 540.002 -7.94493e-05 0.00523293 0.999986 13.3814 -1.22014 0 0 3.64712 
6.16902 2.67309 540 0.0156423 0.0570677 27.9999 7.03166 -13 30 1 0 1 0.00201243 0.000872005 -0.0731131 0 0 0 6.79703 540.001 -0.00109249 0.00229733 0.999997 5.39299 2.64393 0 0 3.64712 
0.854697 3.33837 540 -0.0487294 0.0664711 27.9999 7.03166 -13 31 1 0 1 0.000278816 0.00108903 -0.0731457 0 0 0 6.79704 540.001 -0.00121687 0.000322708 0.999999 1.17694 2.17728 0 0 3.64712 
