11
x y z px py pz
0.000000000e+00 0.000000000e+00 0.0 0.0 0.0 2.650050208e-01
5.000000000e-03 0.000000000e+00 0.0 0.0 0.0 2.650050208e-01
-5.000000000e-03 0.000000000e+00 0.0 0.0 0.0 2.650050208e-01
0.000000000e+00 5.000000000e-03 0.0 0.0 0.0 2.650050208e-01
0.000000000e+00 -5.000000000e-03 0.0 0.0 0.0 2.650050208e-01
5.000000000e-03 5.000000000e-03 0.0 0.0 0.0 2.650050208e-01
-5.000000000e-03 -5.000000000e-03 0.0 0.0 0.0 2.650050208e-01
0.000000000e+00 0.000000000e+00 0.0 0.0 0.0 2.676550710e-01
0.000000000e+00 0.000000000e+00 0.0 0.0 0.0 2.623549706e-01
5.000000000e-03 -5.000000000e-03 0.0 0.0 0.0 2.663300459e-01
-5.000000000e-03 5.000000000e-03 0.0 0.0 0.0 2.636799957e-01
