49
x px y py z pz
0.000000000000e+00 0.0 0.000000000000e+00 0.0 0.0 1.966925763344e+02
1.847759065023e-03 0.0 7.653668647302e-04 0.0 0.0 1.966925763344e+02
7.653668647302e-04 0.0 1.847759065023e-03 0.0 0.0 1.966925763344e+02
-7.653668647302e-04 0.0 1.847759065023e-03 0.0 0.0 1.966925763344e+02
-1.847759065023e-03 0.0 7.653668647302e-04 0.0 0.0 1.966925763344e+02
-1.847759065023e-03 0.0 -7.653668647302e-04 0.0 0.0 1.966925763344e+02
-7.653668647302e-04 0.0 -1.847759065023e-03 0.0 0.0 1.966925763344e+02
7.653668647302e-04 0.0 -1.847759065023e-03 0.0 0.0 1.966925763344e+02
1.847759065023e-03 0.0 -7.653668647302e-04 0.0 0.0 1.966925763344e+02
3.233578363790e-03 0.0 1.339392013278e-03 0.0 0.0 1.966925763344e+02
1.339392013278e-03 0.0 3.233578363790e-03 0.0 0.0 1.966925763344e+02
-1.339392013278e-03 0.0 3.233578363790e-03 0.0 0.0 1.966925763344e+02
-3.233578363790e-03 0.0 1.339392013278e-03 0.0 0.0 1.966925763344e+02
-3.233578363790e-03 0.0 -1.339392013278e-03 0.0 0.0 1.966925763344e+02
-1.339392013278e-03 0.0 -3.233578363790e-03 0.0 0.0 1.966925763344e+02
1.339392013278e-03 0.0 -3.233578363790e-03 0.0 0.0 1.966925763344e+02
3.233578363790e-03 0.0 -1.339392013278e-03 0.0 0.0 1.966925763344e+02
6.929096493835e-03 0.0 2.870125742738e-03 0.0 0.0 1.966925763344e+02
2.870125742738e-03 0.0 6.929096493835e-03 0.0 0.0 1.966925763344e+02
-2.870125742738e-03 0.0 6.929096493835e-03 0.0 0.0 1.966925763344e+02
-6.929096493835e-03 0.0 2.870125742738e-03 0.0 0.0 1.966925763344e+02
-6.929096493835e-03 0.0 -2.870125742738e-03 0.0 0.0 1.966925763344e+02
-2.870125742738e-03 0.0 -6.929096493835e-03 0.0 0.0 1.966925763344e+02
2.870125742738e-03 0.0 -6.929096493835e-03 0.0 0.0 1.966925763344e+02
6.929096493835e-03 0.0 -2.870125742738e-03 0.0 0.0 1.966925763344e+02
4.783542904564e-03 0.0 1.154849415639e-02 0.0 0.0 1.966925763344e+02
-4.783542904564e-03 0.0 1.154849415639e-02 0.0 0.0 1.966925763344e+02
-4.783542904564e-03 0.0 -1.154849415639e-02 0.0 0.0 1.966925763344e+02
4.783542904564e-03 0.0 -1.154849415639e-02 0.0 0.0 1.966925763344e+02
1.662983158520e-02 0.0 6.888301782572e-03 0.0 0.0 1.966925763344e+02
-1.662983158520e-02 0.0 6.888301782572e-03 0.0 0.0 1.966925763344e+02
-1.662983158520e-02 0.0 -6.888301782572e-03 0.0 0.0 1.966925763344e+02
1.662983158520e-02 0.0 -6.888301782572e-03 0.0 0.0 1.966925763344e+02
2.402086784529e-02 0.0 9.949769241492e-03 0.0 0.0 1.966925763344e+02
9.949769241492e-03 0.0 2.402086784529e-02 0.0 0.0 1.966925763344e+02
-9.949769241492e-03 0.0 2.402086784529e-02 0.0 0.0 1.966925763344e+02
-2.402086784529e-02 0.0 9.949769241492e-03 0.0 0.0 1.966925763344e+02
-2.402086784529e-02 0.0 -9.949769241492e-03 0.0 0.0 1.966925763344e+02
-9.949769241492e-03 0.0 -2.402086784529e-02 0.0 0.0 1.966925763344e+02
9.949769241492e-03 0.0 -2.402086784529e-02 0.0 0.0 1.966925763344e+02
2.402086784529e-02 0.0 -9.949769241492e-03 0.0 0.0 1.966925763344e+02
4.157457896301e-02 0.0 1.722075445643e-02 0.0 0.0 1.966925763344e+02
1.722075445643e-02 0.0 4.157457896301e-02 0.0 0.0 1.966925763344e+02
-1.722075445643e-02 0.0 4.157457896301e-02 0.0 0.0 1.966925763344e+02
-4.157457896301e-02 0.0 1.722075445643e-02 0.0 0.0 1.966925763344e+02
-4.157457896301e-02 0.0 -1.722075445643e-02 0.0 0.0 1.966925763344e+02
-1.722075445643e-02 0.0 -4.157457896301e-02 0.0 0.0 1.966925763344e+02
1.722075445643e-02 0.0 -4.157457896301e-02 0.0 0.0 1.966925763344e+02
4.157457896301e-02 0.0 -1.722075445643e-02 0.0 0.0 1.966925763344e+02
