13
x px y py z pz
0.000000000000e+00 0.0 0.000000000000e+00 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 1.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 -1.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 2.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 -2.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 3.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 -3.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 5.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 -5.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 6.400000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 -6.400000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 8.000000000000e-02 0.0 0.0 1.966925763344e+02
0.000000000000e+00 0.0 -8.000000000000e-02 0.0 0.0 1.966925763344e+02
