#BLTrackFile NTuple/Z2300
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
2.65062 8.25157 2300 0.375974 0.527284 27.9925 29.9539 -13 1 1 0 1
1.98867 -7.43016 2300 0.247828 -0.701897 27.9901 29.9583 -13 2 1 0 1
2.93018 -5.54338 2300 0.0817468 -0.393693 27.9971 29.9521 -13 3 1 0 1
0.0296311 2.43935 2300 0.276898 -0.062989 27.9986 29.9501 -13 4 1 0 1
4.01552 -1.39598 2300 0.388822 0.000582497 27.9973 29.9502 -13 5 1 0 1
1.03829 -5.15766 2300 0.165423 -0.346868 27.9974 29.9517 -13 6 1 0 1
0.318334 9.35118 2300 0.288084 0.627166 27.9915 29.9551 -13 7 1 0 1
3.50079 9.37796 2300 0.493891 0.639303 27.9883 29.9565 -13 8 1 0 1
5.35367 4.48899 2300 0.357509 0.473081 27.9937 29.9543 -13 9 1 0 1
-1.2358 1.31103 2300 0.316128 0.10977 27.998 29.9499 -13 10 1 0 1
3.33668 -1.78588 2300 0.21541 -0.118153 27.9989 29.9498 -13 11 1 0 1
-3.79856 2.34876 2300 0.324185 0.12547 27.9978 29.9501 -13 12 1 0 1
-3.01029 -2.57325 2300 0.210069 -0.201549 27.9985 29.9512 -13 13 1 0 1
-0.52267 -0.423283 2300 0.101166 -0.218289 27.999 29.9513 -13 14 1 0 1
0.454425 4.58325 2300 0.127029 -0.0348938 27.9997 29.9507 -13 15 1 0 1
2.0631 -2.6282 2300 0.330567 -0.183791 27.9974 29.9506 -13 16 1 0 1
5.08163 -2.49904 2300 0.36493 -0.0655933 27.9975 29.95 -13 17 1 0 1
4.2662 2.31416 2300 0.378573 0.199426 27.9967 29.9507 -13 18 1 0 1
4.87901 3.39597 2300 0.309556 0.375083 27.9958 29.9526 -13 19 1 0 1
0.406553 6.07257 2300 0.286562 0.270275 27.9972 29.9505 -13 20 1 0 1
4.69226 -4.03519 2300 0.240326 -0.116267 27.9987 29.9498 -13 21 1 0 1
2.06549 2.27522 2300 0.270296 0.242309 27.9976 29.9506 -13 22 1 0 1
-1.50297 1.50874 2300 0.25359 0.00915711 27.9989 29.9498 -13 23 1 0 1
1.07841 2.25171 2300 0.20919 0.218325 27.9984 29.9503 -13 24 1 0 1
0.539607 0.394768 2300 0.174697 -0.137989 27.9991 29.9504 -13 25 1 0 1
0.210681 -0.489556 2300 0.221 -0.141446 27.9988 29.9503 -13 26 1 0 1
3.66941 0.12692 2300 0.295946 -0.0917194 27.9983 29.9498 -13 27 1 0 1
3.94994 -0.537623 2300 0.30169 -0.167468 27.9979 29.9502 -13 28 1 0 1
-0.0363145 -3.83712 2300 0.176072 -0.366129 27.9971 29.9524 -13 29 1 0 1
3.62809 -0.444655 2300 0.318222 -0.162205 27.9977 29.9502 -13 30 1 0 1
1.18244 -0.230379 2300 0.341088 -0.0316131 27.9979 29.95 -13 31 1 0 1
1.19817 -0.145444 2300 0.148183 -0.376124 27.9971 29.9531 -13 32 1 0 1
4.06718 0.72096 2300 0.272937 0.110682 27.9985 29.95 -13 33 1 0 1
1.77193 -7.98183 2300 0.227382 -0.378509 27.9965 29.9519 -13 34 1 0 1
2.2964 0.207662 2300 0.249503 0.00903202 27.9989 29.9497 -13 35 1 0 1
4.79087 -4.23899 2300 0.333961 -0.342744 27.9959 29.9515 -13 36 1 0 1
7.70161 1.79102 2300 0.460212 0.305911 27.9945 29.9529 -13 37 1 0 1
3.51364 1.26665 2300 0.388663 -0.0949986 27.9971 29.9502 -13 38 1 0 1
2.7461 -2.5948 2300 0.311474 0.0655844 27.9982 29.9501 -13 39 1 0 1
-1.21138 2.01695 2300 0.274851 0.0880624 27.9985 29.9498 -13 40 1 0 1
4.0471 -2.34426 2300 0.288905 -0.285082 27.9971 29.951 -13 41 1 0 1
1.30396 4.13519 2300 0.316926 0.796809 27.9869 29.9609 -13 42 1 0 1
3.53929 -1.82301 2300 0.399857 -0.048286 27.9971 29.9503 -13 43 1 0 1
2.58335 0.801164 2300 0.262981 -0.0985285 27.9986 29.9499 -13 44 1 0 1
5.40092 1.88254 2300 0.358213 0.20782 27.9969 29.9509 -13 45 1 0 1
-3.04404 -6.25292 2300 0.274326 -0.248021 27.9976 29.952 -13 46 1 0 1
1.34672 2.95569 2300 0.241103 0.159762 27.9985 29.95 -13 47 1 0 1
3.17428 2.06684 2300 0.294925 0.02843 27.9984 29.9497 -13 48 1 0 1
0.90242 0.111313 2300 0.260382 -0.311612 27.9971 29.9521 -13 49 1 0 1
3.78596 -2.05058 2300 0.338151 -0.121681 27.9977 29.9501 -13 50 1 0 1
2.68889 5.03211 2300 0.224367 0.279303 27.9977 29.951 -13 51 1 0 1
-0.91744 1.60726 2300 0.0223084 0.018521 28 29.9507 -13 52 1 0 1
1.04229 -0.350112 2300 0.26284 -0.108785 27.9986 29.95 -13 53 1 0 1
0.575394 0.241122 2300 0.200321 0.0283573 27.9993 29.9497 -13 54 1 0 1
0.256184 2.43333 2300 0.138864 0.121439 27.9994 29.9501 -13 55 1 0 1
6.09838 2.03125 2300 0.314365 -0.102591 27.998 29.9499 -13 56 1 0 1
4.89739 4.52346 2300 0.245313 0.361323 27.9966 29.9525 -13 57 1 0 1
-0.0675676 3.30303 2300 0.231175 0.180346 27.9985 29.95 -13 58 1 0 1
1.75871 -2.7095 2300 0.200812 0.000201379 27.9993 29.9497 -13 59 1 0 1
0.489862 4.78432 2300 0.35046 0.149911 27.9974 29.95 -13 60 1 0 1
5.60593 0.572248 2300 0.392275 0.00977425 27.9973 29.95 -13 61 1 0 1
0.51493 -9.48996 2300 0.353531 -0.530096 27.9927 29.9557 -13 62 1 0 1
-3.03397 -1.08436 2300 0.210653 0.076574 27.9991 29.9498 -13 63 1 0 1
-0.608662 -1.80404 2300 0.337276 0.0918399 27.9978 29.9503 -13 64 1 0 1
0.287264 -4.95152 2300 0.311752 -0.185801 27.9976 29.9509 -13 65 1 0 1
2.70948 6.02697 2300 0.36065 0.365594 27.9953 29.9517 -13 66 1 0 1
3.08433 3.15859 2300 0.102922 0.11525 27.9996 29.9507 -13 67 1 0 1
-1.04837 -0.670509 2300 0.17494 -0.0973699 27.9993 29.9501 -13 68 1 0 1
3.98075 -0.863959 2300 0.378945 -0.103702 27.9972 29.9501 -13 69 1 0 1
4.98047 1.86921 2300 0.44844 0.13937 27.9961 29.9507 -13 70 1 0 1
5.92029 -2.17036 2300 0.237569 -0.23148 27.998 29.9503 -13 71 1 0 1
0.647615 -3.08009 2300 0.226769 0.0559572 27.999 29.9498 -13 72 1 0 1
1.88066 -0.019623 2300 0.174674 -0.212204 27.9987 29.9508 -13 73 1 0 1
-0.327188 -4.30171 2300 0.127967 -0.104235 27.9995 29.9499 -13 74 1 0 1
1.22151 -0.684637 2300 0.244464 -0.0234318 27.9989 29.9497 -13 75 1 0 1
4.85808 0.371279 2300 0.268069 0.0645306 27.9986 29.9499 -13 76 1 0 1
2.45652 -3.58482 2300 0.200671 -0.382359 27.9967 29.9522 -13 77 1 0 1
2.94246 4.82149 2300 0.205864 0.251187 27.9981 29.9509 -13 78 1 0 1
2.30201 5.1071 2300 0.245727 0.26001 27.9977 29.9507 -13 79 1 0 1
5.02767 -3.14317 2300 0.332394 -0.33755 27.996 29.9514 -13 80 1 0 1
3.18211 -1.37723 2300 0.326792 -0.319735 27.9963 29.9517 -13 81 1 0 1
3.17863 -0.178861 2300 0.309222 0.00256494 27.9983 29.9497 -13 82 1 0 1
-3.2479 0.122997 2300 0.163038 0.00805887 27.9995 29.9499 -13 83 1 0 1
