#BLTrackFile NTuple/Z1285
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-7.94646 -7.50345 1285 0.482939 0.172284 27.9953 16.7345 -13 1 1 0 1
8.99351 15.1292 1285 -0.695269 -0.309757 27.9897 16.7371 -13 2 1 0 1
10.535 4.24257 1285 -0.41174 0.00863347 27.997 16.734 -13 3 1 0 1
0.156399 5.08816 1285 -0.159484 -0.0225264 27.9995 16.733 -13 4 1 0 1
-2.60106 0.275234 1285 0.0700584 -0.136821 27.9996 16.7329 -13 5 1 0 1
5.84383 5.32121 1285 -0.374601 -0.095903 27.9973 16.7338 -13 6 1 0 1
-8.37563 -10.0803 1285 0.512068 0.280209 27.9939 16.7351 -13 7 1 0 1
-12.1897 -8.39832 1285 0.638728 0.104233 27.9925 16.7357 -13 8 1 0 1
-5.84569 -10.3197 1285 0.521113 0.153491 27.9947 16.735 -13 9 1 0 1
-5.3627 0.186877 1285 0.0388233 -0.0608158 27.9999 16.7329 -13 10 1 0 1
3.87532 0.972725 1285 -0.117087 0.0077437 27.9998 16.7328 -13 11 1 0 1
-7.5305 1.76027 1285 -0.001618 -0.0876641 27.9999 16.733 -13 12 1 0 1
-0.126169 5.46329 1285 -0.309674 -0.12463 27.998 16.7337 -13 13 1 0 1
6.37781 4.82734 1285 -0.348403 0.0718833 27.9977 16.7337 -13 14 1 0 1
5.47278 3.30689 1285 -0.195672 0.198758 27.9986 16.7335 -13 15 1 0 1
0.0672521 4.70675 1285 -0.166817 -0.174733 27.999 16.7332 -13 16 1 0 1
-0.379996 0.54029 1285 0.0248427 -0.13079 27.9997 16.7328 -13 17 1 0 1
-3.79696 -3.02243 1285 0.236631 -0.000464215 27.999 16.7331 -13 18 1 0 1
-3.63083 -8.83097 1285 0.406758 0.153533 27.9966 16.7342 -13 19 1 0 1
-3.77308 -2.03155 1285 0.165625 0.128113 27.9992 16.733 -13 20 1 0 1
3.2644 -1.03728 1285 -0.050411 -0.0389107 27.9999 16.7328 -13 21 1 0 1
-3.0395 -5.18166 1285 0.216017 0.096447 27.999 16.7332 -13 22 1 0 1
-1.96002 2.45219 1285 -0.0984286 -0.018468 27.9998 16.7329 -13 23 1 0 1
-1.61518 -5.06335 1285 0.155236 0.142266 27.9992 16.733 -13 24 1 0 1
4.0473 3.82134 1285 -0.23216 0.0429054 27.999 16.7332 -13 25 1 0 1
2.06476 4.12278 1285 -0.215247 -0.0312742 27.9992 16.7331 -13 26 1 0 1
2.07232 2.87811 1285 -0.0879617 -0.0352973 27.9998 16.7328 -13 27 1 0 1
3.09158 4.5994 1285 -0.155684 -0.0696635 27.9995 16.733 -13 28 1 0 1
5.50647 7.57917 1285 -0.431614 -0.106139 27.9965 16.7342 -13 29 1 0 1
2.27958 4.92354 1285 -0.152127 -0.0902543 27.9994 16.733 -13 30 1 0 1
-2.4646 2.58886 1285 -0.0460935 -0.116106 27.9997 16.7329 -13 31 1 0 1
9.06317 9.82644 1285 -0.484915 0.00939017 27.9958 16.7348 -13 32 1 0 1
0.0301599 -3.27345 1285 0.128564 0.0620251 27.9996 16.7329 -13 33 1 0 1
